,total_chronic,PotentialFraud,InscClaimAmtReimbursed
0,0,No,223.69535171310105
1,0,Yes,220.60428352881183
2,1,No,236.41755913851947
3,1,Yes,235.8156124736735
4,2,No,239.92764307557886
5,2,Yes,241.223470067574
6,3,No,252.87806781917948
7,3,Yes,254.4602761656994
8,4,No,276.442631887101
9,4,Yes,271.2461308385212
10,5,No,305.3993769470405
11,5,Yes,312.3028737259343
12,6,No,324.6782442661333
13,6,Yes,331.65382498624103
14,7,No,330.64726719166254
15,7,Yes,323.64225567746877
16,8,No,326.9803757050296
17,8,Yes,342.61119081779054
18,9,No,338.2506753106429
19,9,Yes,333.69810633648945
20,10,No,336.7655109489051
21,10,Yes,336.6539343009931
22,11,No,477.0157068062827
23,11,Yes,211.14285714285714
